Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2020-09-13,16:00,La Liga 2,Matchweek 1,Sun,Home,L,0,1,Rayo Vallecano,56.0,,Manolo Reina,4-4-2,4-4-2,Luis Milla,Match Report,,2020-2021,Mallorca
2020-09-20,16:00,La Liga 2,Matchweek 2,Sun,Away,D,0,0,Espanyol,47.0,,Manolo Reina,4-3-3,4-2-3-1,Dámaso Arcediano,Match Report,,2020-2021,Mallorca
2020-09-27,16:00,La Liga 2,Matchweek 3,Sun,Home,W,1,0,Sabadell,49.0,,Manolo Reina,4-3-3,3-5-1-1,Álvaro Moreno,Match Report,,2020-2021,Mallorca
2020-10-03,18:15,La Liga 2,Matchweek 4,Sat,Home,W,2,0,Tenerife,47.0,,Manolo Reina,4-2-3-1,4-2-3-1,José López,Match Report,,2020-2021,Mallorca
2020-10-11,12:00,La Liga 2,Matchweek 5,Sun,Away,W,1,0,Lugo,56.0,,Manolo Reina,4-2-3-1,4-2-3-1,David Gálvez,Match Report,,2020-2021,Mallorca
2020-10-18,18:15,La Liga 2,Matchweek 6,Sun,Away,D,0,0,CD Mirandés,48.0,,Manolo Reina,4-2-3-1,4-2-3-1,Rafael Sánchez,Match Report,,2020-2021,Mallorca
2020-10-22,19:00,La Liga 2,Matchweek 7,Thu,Home,D,0,0,Albacete,52.0,,Manolo Reina,4-2-3-1,4-2-3-1,Juan Pulido,Match Report,,2020-2021,Mallorca
2020-10-26,18:00,La Liga 2,Matchweek 8,Mon,Away,W,2,0,Alcorcón,55.0,,Manolo Reina,4-2-3-1,4-4-2,Daniel Ocón,Match Report,,2020-2021,Mallorca
2020-10-29,19:00,La Liga 2,Matchweek 9,Thu,Home,W,3,1,Málaga,50.0,,Manolo Reina,4-5-1,5-4-1,Oliver De La Fuente,Match Report,,2020-2021,Mallorca
2020-11-01,16:00,La Liga 2,Matchweek 10,Sun,Away,D,0,0,Zaragoza,58.0,,Manolo Reina,4-4-2,4-4-2,José López,Match Report,,2020-2021,Mallorca
2020-11-08,18:15,La Liga 2,Matchweek 11,Sun,Home,W,3,0,Ponferradina,54.0,,Manolo Reina,4-3-3,4-2-3-1,Francisco Hernández,Match Report,,2020-2021,Mallorca
2020-11-14,18:30,La Liga 2,Matchweek 12,Sat,Away,W,1,0,Girona,54.0,,Manolo Reina,4-2-3-1,4-4-2,Jon González,Match Report,,2020-2021,Mallorca
2020-11-22,16:00,La Liga 2,Matchweek 13,Sun,Home,D,0,0,Sporting Gijón,55.0,,Manolo Reina,4-4-2,4-2-3-1,David Gálvez,Match Report,,2020-2021,Mallorca
2020-11-25,21:30,La Liga 2,Matchweek 14,Wed,Away,W,2,1,Cartagena,60.0,,Manolo Reina,4-2-3-1,4-4-2,Rubén Ávalos,Match Report,,2020-2021,Mallorca
2020-11-29,18:15,La Liga 2,Matchweek 15,Sun,Home,W,4,0,UD Logroñés,64.0,,Manolo Reina,4-2-3-1,4-3-3,Álvaro Moreno,Match Report,,2020-2021,Mallorca
2020-12-03,19:00,La Liga 2,Matchweek 16,Thu,Away,W,1,0,Almería,46.0,,Manolo Reina,4-4-2,4-2-3-1,Alejandro Muñíz,Match Report,,2020-2021,Mallorca
2020-12-07,21:00,La Liga 2,Matchweek 17,Mon,Home,W,3,1,Castellón,58.0,,Manolo Reina,4-2-3-1,4-4-2,Rafael Sánchez,Match Report,,2020-2021,Mallorca
2020-12-12,16:00,La Liga 2,Matchweek 18,Sat,Away,W,1,0,Leganés,60.0,,Manolo Reina,4-4-2,4-2-3-1,Gorka Sagues,Match Report,,2020-2021,Mallorca
2020-12-16,19:30,Copa del Rey,First round,Wed,Away,W,1,0,Guijuelo,,,Miquel Parera,,,Francisco Hernández,Match Report,,2020-2021,Mallorca
2020-12-19,18:15,La Liga 2,Matchweek 19,Sat,Home,L,2,3,Fuenlabrada,47.0,,Manolo Reina,4-2-3-1,5-4-1,Ignacio Iglesias,Match Report,,2020-2021,Mallorca
2021-01-03,21:00,La Liga 2,Matchweek 20,Sun,Away,D,2,2,Oviedo,49.0,,Manolo Reina,4-2-3-1,4-4-2,Daniel Trujillo,Match Report,,2020-2021,Mallorca
2021-01-06,21:00,Copa del Rey,Second round,Wed,Away,D,2 (6),2 (7),Fuenlabrada,59.0,,Miquel Parera,4-4-2,5-4-1,Luis Milla,Match Report,Fuenlabrada won on penalty kicks following extra time,2020-2021,Mallorca
2021-01-10,16:00,La Liga 2,Matchweek 21,Sun,Home,L,0,1,Las Palmas,46.0,,Manolo Reina,4-4-2,4-4-2,Aitor Gorostegui,Match Report,,2020-2021,Mallorca
2021-01-23,16:00,La Liga 2,Matchweek 22,Sat,Away,W,3,1,Rayo Vallecano,37.0,,Manolo Reina,4-2-3-1,4-2-3-1,Eduardo Prieto,Match Report,,2020-2021,Mallorca
2021-01-30,20:30,La Liga 2,Matchweek 23,Sat,Home,W,1,0,Girona,54.0,,Manolo Reina,4-2-3-1,4-4-2,Alejandro Muñíz,Match Report,,2020-2021,Mallorca
2021-02-05,21:00,La Liga 2,Matchweek 24,Fri,Away,W,1,0,Albacete,70.0,,Manolo Reina,4-2-3-1,4-4-2,Álvaro Moreno,Match Report,,2020-2021,Mallorca
2021-02-14,14:00,La Liga 2,Matchweek 25,Sun,Home,L,1,2,Espanyol,57.0,,Manolo Reina,4-2-3-1,4-2-3-1,Dámaso Arcediano,Match Report,,2020-2021,Mallorca
2021-02-21,16:00,La Liga 2,Matchweek 26,Sun,Home,W,2,0,Almería,44.0,,Manolo Reina,4-2-3-1,4-2-3-1,Miguel Ángel Ortiz Arias,Match Report,,2020-2021,Mallorca
2021-02-27,21:00,La Liga 2,Matchweek 27,Sat,Away,W,1,0,UD Logroñés,55.0,,Manolo Reina,4-4-2,4-5-1,David Gálvez,Match Report,,2020-2021,Mallorca
2021-03-07,18:15,La Liga 2,Matchweek 28,Sun,Home,W,2,1,Cartagena,66.0,,Manolo Reina,4-2-3-1,4-4-2,Rubén Ávalos,Match Report,,2020-2021,Mallorca
2021-03-14,16:00,La Liga 2,Matchweek 29,Sun,Away,L,0,2,Sporting Gijón,60.0,,Manolo Reina,4-4-2,4-2-3-1,Alejandro Muñíz,Match Report,,2020-2021,Mallorca
2021-03-20,18:15,La Liga 2,Matchweek 30,Sat,Home,D,0,0,Oviedo,65.0,,Manolo Reina,4-4-2,4-4-2,Gorka Sagues,Match Report,,2020-2021,Mallorca
2021-03-29,21:00,La Liga 2,Matchweek 31,Mon,Away,L,1,4,Fuenlabrada,59.0,,Manolo Reina,4-2-3-1,4-4-2,Dámaso Arcediano,Match Report,,2020-2021,Mallorca
